county_name,year,month,rainfall_anomaly_1m,rainfall_anomaly_3m,rainfall_rolling_3m,consecutive_dry_months,ndvi_anomaly_1m,ndvi_anomaly_3m,ndvi_trend_3m,maize_price_change_1m,maize_price_change_3m,maize_price_zscore,previous_ipc_phase,target_phase3plus
Baringo,2019,1,,,26.5,0,,,,,,-1.5046507221370384,,0
Baringo,2019,2,37.7,,29.9,0,18.9,,,1.0986386434201099,,-1.4371505434552663,2.0,0
Baringo,2019,3,73.0,,72.5,0,40.7,,,-0.7795889440113395,,-1.4855745846834942,2.0,0
Baringo,2019,4,30.3,37.7,121.76666666666667,0,17.5,18.9,0.04999999999999993,3.1428571428571432,3.4631000716503464,-1.2918784197705828,2.0,0
Baringo,2019,5,44.0,73.0,167.63333333333333,0,30.2,40.7,-0.06399999999999995,-5.170821791320406,-2.9529884242853766,-1.6205749420470383,2.0,0
Baringo,2019,6,41.2,30.3,123.60000000000001,0,26.1,17.5,0.02400000000000002,3.9191820837390456,1.6428571428571428,-1.3843243166608359,2.0,0
Baringo,2019,7,33.0,44.0,74.43333333333334,0,23.0,30.2,-0.016999999999999904,-0.7027406886858749,-2.146814404432133,-1.4283461723228612,2.0,0
Baringo,2019,8,39.2,41.2,27.7,0,26.4,26.1,0.039999999999999925,-1.580561453172918,1.557935735150925,-1.526661649968051,2.0,0
Baringo,2019,9,59.5,33.0,28.266666666666666,0,35.2,23.0,-0.05500000000000005,1.414189837008629,-0.8901382056687749,-1.4400853338327346,2.0,0
Baringo,2019,10,41.8,39.2,40.300000000000004,0,10.5,26.4,-0.24700000000000005,0.1181753722524226,-0.07077140835102619,-1.4327483578890639,2.0,0
Baringo,2019,11,-38.8,59.5,79.66666666666667,1,-29.8,35.2,-0.06599999999999995,-2.1954674220963173,-0.6951102588686481,-1.5692161104413422,2.0,0
Baringo,2019,12,44.7,41.8,126.36666666666667,0,20.2,10.5,0.10099999999999998,5.696355298093169,3.497991018671709,-1.2229108459000766,2.0,0
Baringo,2020,1,62.8,-38.8,111.16666666666667,0,33.4,-29.8,0.11399999999999999,3.8821648778259874,7.389046270066101,-0.9734536638152665,2.0,0
Baringo,2020,2,-10.1,44.7,67.46666666666667,1,-3.9,20.2,-0.129,-3.033633765662783,6.468742457156649,-1.175954199860583,2.0,0
Baringo,2020,3,-8.1,62.8,47.76666666666667,2,-9.1,33.4,-0.20099999999999996,-0.24937655860349126,0.4795615437314455,-1.1920955469366588,2.0,0
Baringo,2020,4,-10.5,-10.1,74.26666666666667,3,-12.3,-3.9,-0.015000000000000013,0.5227272727272727,-2.7698395251703674,-1.1583454575957728,2.0,0
Baringo,2020,5,-20.0,-8.1,103.13333333333333,4,-7.3,-9.1,0.0030000000000000027,0.3391363328057879,0.6121060983903877,-1.13633452976476,2.0,0
Baringo,2020,6,-13.8,-10.5,73.33333333333333,5,-8.4,-12.3,0.02999999999999997,-2.2757999098693102,-1.4318181818181819,-1.284541443826912,2.0,0
Baringo,2020,7,-1.8,-20.0,47.800000000000004,6,-5.5,-7.3,0.03600000000000003,-0.6917223887479825,-2.6226543070314268,-1.3285632994889371,2.0,0
Baringo,2020,8,4.9,-13.8,19.2,0,0.9,-8.4,0.03699999999999998,-0.20896215463199444,-3.1545741324921135,-1.3417698561875449,2.0,0
Baringo,2020,9,-3.9,-1.8,18.866666666666664,1,0.0,-5.5,0.02100000000000002,3.5365286179618427,2.6054876642840674,-1.11872578749995,2.0,0
Baringo,2020,10,-7.0,4.9,45.9,2,-0.7,0.9,-0.03600000000000003,-0.0898876404494382,3.2273043882052472,-1.1245953682548866,2.0,0
Baringo,2020,11,-1.5,-3.9,69.2,3,-7.3,0.0,-0.044999999999999984,0.9896536212325686,4.467194043741276,-1.060029979950583,2.0,0
Baringo,2020,12,-14.0,-7.0,100.93333333333332,4,-10.2,-0.7,0.064,0.779510022271715,1.6853932584269662,-1.0086711483448867,2.0,0
Baringo,2021,1,10.0,-1.5,69.56666666666666,0,13.9,-7.3,-0.11699999999999999,28.795580110497237,31.084120557804766,0.9033447825757454,2.0,0
Baringo,2021,2,-62.6,-14.0,42.56666666666666,1,-33.9,-10.2,-0.10600000000000004,-0.2230610844200412,29.51002227171492,0.884268645122201,2.0,0
Baringo,2021,3,-61.6,10.0,20.066666666666666,2,-34.3,13.9,-0.23099999999999998,-1.4961306964746346,26.585635359116022,0.7566052637023277,2.0,0
Baringo,2021,4,-62.3,-62.6,34.46666666666667,3,-38.6,-33.9,0.0030000000000000027,-0.19203910614525138,-1.904598490048044,0.7404639166262518,2.0,0
Baringo,2021,5,-58.3,-61.6,48.866666666666674,4,-33.2,-34.3,-0.0020000000000000018,0.5422424348434494,-1.1521926053310405,0.7859531674770112,2.0,0
Baringo,2021,6,-58.2,-62.3,36.233333333333334,5,-34.8,-38.6,-0.0050000000000000044,1.51356993736952,1.8680167597765363,0.9136165488968846,2.0,0
Baringo,2021,7,-60.0,-58.3,21.7,6,-39.8,-33.2,-0.04899999999999999,-1.9537275064267352,0.06996676578625152,0.7463334973811885,2.0,0
Baringo,2021,8,-64.7,-58.2,6.8999999999999995,7,-44.3,-34.8,-0.014999999999999958,2.0450970110120608,1.5657620041753653,0.9180187344630871,2.0,0
Baringo,2021,9,-67.8,-60.0,6.633333333333334,8,-38.2,-39.8,0.02699999999999997,-0.2569373072970195,-0.2056555269922879,0.8960078066320745,2.0,0
Baringo,2021,10,-64.2,-64.7,18.0,9,-33.6,-44.3,0.05299999999999999,-0.858663918942126,0.9089320048942492,0.8226380471953656,2.0,0
Baringo,2021,11,-60.2,-67.8,24.833333333333332,10,-32.3,-38.2,-0.02400000000000002,0.4330504070673827,-0.6851661527920521,0.85932292691372,2.0,0
Baringo,2021,12,-74.0,-64.2,35.63333333333333,11,-43.6,-33.6,-0.007000000000000006,0.6553984132459468,0.2232526189249528,0.9150839440856188,2.0,0
Baringo,2022,1,-61.8,-60.2,24.866666666666664,12,-35.2,-32.3,0.008000000000000007,-0.35983550376970524,0.7275246838732028,0.884268645122201,2.0,1
Baringo,2022,2,-55.3,-74.0,18.566666666666666,13,-30.5,-43.6,0.03300000000000003,1.9948409286328461,2.293894446360814,1.0544864870153656,3.0,1
Baringo,2022,3,-59.5,-61.8,23.066666666666663,14,-36.1,-35.2,0.0030000000000000027,0.15174506828528073,1.782042494859493,1.0676930437139731,3.0,1
Baringo,2022,4,-56.4,-55.3,37.1,15,-34.5,-30.5,-0.02999999999999997,0.7407407407407408,2.9062768701633703,1.132258432018277,3.0,1
Baringo,2022,5,-58.1,-59.5,51.43333333333334,16,-37.3,-36.1,0.01599999999999996,-2.356283422459893,-1.4837295565671893,0.925355710406758,3.0,1
Baringo,2022,6,-58.0,-56.4,35.96666666666667,17,-32.5,-34.5,-0.025999999999999968,4.5011124422385755,2.7946127946127945,1.3112806450438463,3.0,1
Baringo,2022,7,-66.8,-58.1,21.166666666666668,18,-40.5,-37.3,0.0050000000000000044,-2.1945627251883395,-0.2005347593582888,1.1146496897534668,3.0,1
Baringo,2022,8,-67.3,-58.0,6.6000000000000005,19,-36.1,-32.5,-0.013000000000000012,3.6671131949095783,5.955844600376519,1.4360092360862515,3.0,1
Baringo,2022,9,-63.1,-66.8,6.3999999999999995,20,-35.5,-40.5,0.032999999999999974,-0.9853012437409143,0.3930560104814936,1.3464981295734666,3.0,1
Baringo,2022,10,-69.9,-67.3,18.133333333333333,21,-33.0,-36.1,0.011999999999999955,-2.6427406199021206,-0.06697923643670461,1.10878010899853,3.0,1
Baringo,2022,11,-59.6,-63.1,28.5,22,-33.4,-35.5,0.028000000000000025,-0.20107238605898123,-3.7958326603133576,1.09117136673372,3.0,1
Baringo,2022,12,-62.9,-69.9,41.800000000000004,23,-29.1,-33.0,-0.007000000000000006,-1.6789791806581598,-4.469820554649266,0.9444318478603023,3.0,1
Baringo,2023,1,-55.6,-59.6,31.733333333333334,24,-34.5,-33.4,0.05299999999999999,1.4173497267759563,-0.4859249329758713,1.066225648525239,3.0,0
Baringo,2023,2,-41.3,-62.9,23.433333333333337,25,-21.4,-29.1,0.046999999999999986,-6.600437784138744,-6.867024848891874,0.4910067345414417,2.0,0
Baringo,2023,3,-30.9,-55.6,35.46666666666666,26,-18.4,-34.5,0.039000000000000035,0.7751937984496124,-4.5423497267759565,0.5541047276570114,2.0,0
Baringo,2023,4,-32.4,-41.3,60.9,27,-25.7,-21.4,0.051000000000000045,3.7924865831842576,-2.3067856541505303,0.8651925076686567,2.0,0
Baringo,2023,5,-27.6,-30.9,82.19999999999999,28,-9.8,-18.4,0.019000000000000017,-0.8790072388831437,3.6776636019469984,0.7903553530432137,2.0,0
Baringo,2023,6,-36.2,-32.4,59.333333333333336,29,-14.1,-25.7,0.04299999999999998,-1.7562163102069206,1.073345259391771,0.6421484389810619,2.0,0
Baringo,2023,7,-31.4,-27.6,34.699999999999996,30,-15.9,-9.8,-0.03700000000000003,-2.8849557522123894,-5.429162357807653,0.40296302321739114,2.0,0
Baringo,2023,8,-28.8,-36.2,12.433333333333332,31,-18.2,-14.1,-0.03999999999999998,7.2717331875341715,2.3474178403755865,0.9884537035223275,2.0,0
Baringo,2023,9,-46.0,-31.4,12.133333333333333,32,-23.2,-15.9,-0.020000000000000018,-1.5800203873598369,2.5309734513274336,0.8519859509700491,2.0,0
Baringo,2023,10,-36.1,-28.8,65.66666666666667,33,-20.5,-18.2,0.241,-10.616261004660798,-5.6314926189174415,-0.050462090101469445,2.0,0
Baringo,2023,11,69.5,-46.0,132.16666666666666,0,36.6,-23.2,0.37199999999999994,-0.3862495171881035,-12.36833163438668,-0.07980999387615298,2.0,0
Baringo,2023,12,104.1,-36.1,195.16666666666666,0,61.4,-20.5,0.352,-0.5622334238076774,-11.462109442430519,-0.1223644543494441,2.0,0
Baringo,2024,1,95.7,69.5,145.8,0,59.5,36.6,-0.05999999999999994,1.6182491713784362,0.656624179219776,-0.0005706536845074388,2.0,0
Baringo,2024,2,36.1,104.1,84.7,0,23.0,61.4,-0.20199999999999996,0.4604758250191865,1.5122140364482357,0.0346468308451128,2.0,0
Baringo,2024,3,38.2,95.7,77.86666666666667,0,15.5,59.5,-0.122,3.4950343773873183,5.65412361084032,0.30318015038346713,2.0,0
Baringo,2024,4,49.4,36.1,117.5,0,31.8,23.0,-0.07400000000000001,-2.5465953127883374,1.323867996930161,0.10067961433815074,2.0,0
Baringo,2024,5,19.9,38.2,159.83333333333334,0,6.1,15.5,0.0010000000000000009,2.0829388373414126,2.9602750190985483,0.26209308509891016,2.0,0
Baringo,2024,6,26.9,49.4,107.16666666666667,0,15.7,31.8,-0.08699999999999997,-3.1534038211834536,-3.6538106661745706,0.01263590301410015,2.0,0
Baringo,2024,7,18.4,19.9,67.36666666666666,0,12.0,6.1,0.056999999999999995,0.3639149588201494,-0.776368112099981,0.040516411600049505,2.0,0
Baringo,2024,8,33.5,26.9,23.900000000000002,0,19.1,15.7,-0.02100000000000002,0.7251908396946565,-2.096086069374884,0.09627742877194821,2.0,0
Baringo,2024,9,20.5,18.4,26.46666666666667,0,10.9,12.0,0.09099999999999997,0.037893141341417205,1.1300517142309903,0.09921221914941657,2.0,0
Baringo,2024,10,58.4,33.5,47.26666666666667,0,32.7,19.1,-0.138,-0.01893939393939394,0.7442748091603053,0.09774482396068239,2.0,0
Baringo,2024,11,-14.3,20.5,77.96666666666665,1,-12.3,10.9,0.010000000000000009,0.1515438530024626,0.17051913603637742,0.10948398547055581,2.0,0
Baringo,2024,12,12.1,58.4,118.93333333333334,0,13.2,32.7,-0.020000000000000018,0.3026290902212975,0.43560606060606066,0.13296230849030263,2.0,0
Garissa,2019,1,,,10.6,0,,,,,,-1.461923041856351,,0
Garissa,2019,2,16.5,,12.05,0,18.6,,,1.5805211448099103,,-1.355886503922449,2.0,0
Garissa,2019,3,48.4,,34.73333333333333,0,43.2,,,-1.5349032800672835,,-1.460490115668055,2.0,0
Garissa,2019,4,14.1,16.5,57.03333333333333,0,12.5,18.6,-0.056999999999999995,1.5374759769378605,1.5591627509611277,-1.357319430110745,2.0,0
