county_name,year,month,commodity,price
Turkana,2019,1,Maize,4665.0
Turkana,2019,2,Maize,4847.0
Turkana,2019,3,Maize,4772.0
Turkana,2019,4,Maize,4785.0
Turkana,2019,5,Maize,4726.0
Turkana,2019,6,Maize,4855.0
Turkana,2019,7,Maize,4850.0
Turkana,2019,8,Maize,4747.0
Turkana,2019,9,Maize,4704.0
Turkana,2019,10,Maize,4801.0
Turkana,2019,11,Maize,4853.0
Turkana,2019,12,Maize,4794.0
Turkana,2020,1,Maize,4914.0
Turkana,2020,2,Maize,4948.0
Turkana,2020,3,Maize,4991.0
Turkana,2020,4,Maize,5004.0
Turkana,2020,5,Maize,5087.0
Turkana,2020,6,Maize,5039.0
Turkana,2020,7,Maize,5026.0
Turkana,2020,8,Maize,5022.0
Turkana,2020,9,Maize,4938.0
Turkana,2020,10,Maize,5129.0
Turkana,2020,11,Maize,5137.0
Turkana,2020,12,Maize,4946.0
Turkana,2021,1,Maize,6436.0
Turkana,2021,2,Maize,6304.0
Turkana,2021,3,Maize,6483.0
Turkana,2021,4,Maize,5980.0
Turkana,2021,5,Maize,6511.0
Turkana,2021,6,Maize,6397.0
Turkana,2021,7,Maize,6232.0
Turkana,2021,8,Maize,6416.0
Turkana,2021,9,Maize,6372.0
Turkana,2021,10,Maize,6160.0
Turkana,2021,11,Maize,6625.0
Turkana,2021,12,Maize,6367.0
Turkana,2022,1,Maize,6475.0
Turkana,2022,2,Maize,6617.0
Turkana,2022,3,Maize,6519.0
Turkana,2022,4,Maize,6573.0
Turkana,2022,5,Maize,6693.0
Turkana,2022,6,Maize,6647.0
Turkana,2022,7,Maize,6549.0
Turkana,2022,8,Maize,6830.0
Turkana,2022,9,Maize,6364.0
Turkana,2022,10,Maize,6353.0
Turkana,2022,11,Maize,6509.0
Turkana,2022,12,Maize,6707.0
Turkana,2023,1,Maize,6031.0
Turkana,2023,2,Maize,6121.0
Turkana,2023,3,Maize,6461.0
Turkana,2023,4,Maize,6433.0
Turkana,2023,5,Maize,6326.0
Turkana,2023,6,Maize,5905.0
Turkana,2023,7,Maize,6279.0
Turkana,2023,8,Maize,6447.0
Turkana,2023,9,Maize,5682.0
Turkana,2023,10,Maize,5633.0
Turkana,2023,11,Maize,5622.0
Turkana,2023,12,Maize,5667.0
Turkana,2024,1,Maize,5830.0
Turkana,2024,2,Maize,5783.0
Turkana,2024,3,Maize,5812.0
Turkana,2024,4,Maize,5806.0
Turkana,2024,5,Maize,6038.0
Turkana,2024,6,Maize,5962.0
Turkana,2024,7,Maize,5889.0
Turkana,2024,8,Maize,5879.0
Turkana,2024,9,Maize,5938.0
Turkana,2024,10,Maize,5928.0
Turkana,2024,11,Maize,5842.0
Turkana,2024,12,Maize,6067.0
Marsabit,2019,1,Maize,4839.0
Marsabit,2019,2,Maize,4921.0
Marsabit,2019,3,Maize,4974.0
Marsabit,2019,4,Maize,4862.0
Marsabit,2019,5,Maize,4877.0
Marsabit,2019,6,Maize,4912.0
Marsabit,2019,7,Maize,4881.0
Marsabit,2019,8,Maize,4870.0
Marsabit,2019,9,Maize,5038.0
Marsabit,2019,10,Maize,4874.0
Marsabit,2019,11,Maize,4873.0
Marsabit,2019,12,Maize,5039.0
Marsabit,2020,1,Maize,5260.0
Marsabit,2020,2,Maize,5096.0
Marsabit,2020,3,Maize,5199.0
Marsabit,2020,4,Maize,5105.0
Marsabit,2020,5,Maize,5266.0
Marsabit,2020,6,Maize,5115.0
Marsabit,2020,7,Maize,5241.0
Marsabit,2020,8,Maize,5039.0
Marsabit,2020,9,Maize,5066.0
Marsabit,2020,10,Maize,5169.0
Marsabit,2020,11,Maize,5126.0
Marsabit,2020,12,Maize,4955.0
Marsabit,2021,1,Maize,6392.0
Marsabit,2021,2,Maize,6373.0
Marsabit,2021,3,Maize,6599.0
Marsabit,2021,4,Maize,6454.0
Marsabit,2021,5,Maize,6534.0
Marsabit,2021,6,Maize,6326.0
Marsabit,2021,7,Maize,6416.0
Marsabit,2021,8,Maize,6608.0
Marsabit,2021,9,Maize,6523.0
Marsabit,2021,10,Maize,6556.0
Marsabit,2021,11,Maize,6606.0
Marsabit,2021,12,Maize,6608.0
Marsabit,2022,1,Maize,6717.0
Marsabit,2022,2,Maize,6803.0
Marsabit,2022,3,Maize,6462.0
Marsabit,2022,4,Maize,6707.0
Marsabit,2022,5,Maize,6665.0
Marsabit,2022,6,Maize,6596.0
Marsabit,2022,7,Maize,6761.0
Marsabit,2022,8,Maize,6696.0
Marsabit,2022,9,Maize,6536.0
Marsabit,2022,10,Maize,6624.0
Marsabit,2022,11,Maize,6723.0
Marsabit,2022,12,Maize,6761.0
Marsabit,2023,1,Maize,6345.0
Marsabit,2023,2,Maize,6369.0
Marsabit,2023,3,Maize,6552.0
Marsabit,2023,4,Maize,6026.0
Marsabit,2023,5,Maize,6506.0
Marsabit,2023,6,Maize,6610.0
Marsabit,2023,7,Maize,6370.0
Marsabit,2023,8,Maize,6256.0
Marsabit,2023,9,Maize,6224.0
Marsabit,2023,10,Maize,5753.0
Marsabit,2023,11,Maize,5770.0
Marsabit,2023,12,Maize,5946.0
Marsabit,2024,1,Maize,6086.0
Marsabit,2024,2,Maize,5998.0
Marsabit,2024,3,Maize,5873.0
Marsabit,2024,4,Maize,5963.0
Marsabit,2024,5,Maize,6088.0
Marsabit,2024,6,Maize,5967.0
Marsabit,2024,7,Maize,6050.0
Marsabit,2024,8,Maize,5909.0
Marsabit,2024,9,Maize,6018.0
Marsabit,2024,10,Maize,6046.0
Marsabit,2024,11,Maize,5938.0
Marsabit,2024,12,Maize,6053.0
Mandera,2019,1,Maize,5077.0
Mandera,2019,2,Maize,5175.0
Mandera,2019,3,Maize,4941.0
Mandera,2019,4,Maize,5172.0
Mandera,2019,5,Maize,4863.0
Mandera,2019,6,Maize,5135.0
Mandera,2019,7,Maize,4975.0
Mandera,2019,8,Maize,5093.0
Mandera,2019,9,Maize,5153.0
Mandera,2019,10,Maize,5230.0
Mandera,2019,11,Maize,5207.0
Mandera,2019,12,Maize,5065.0
Mandera,2020,1,Maize,5341.0
Mandera,2020,2,Maize,5245.0
Mandera,2020,3,Maize,5195.0
Mandera,2020,4,Maize,5412.0
Mandera,2020,5,Maize,5185.0
Mandera,2020,6,Maize,5306.0
Mandera,2020,7,Maize,5336.0
Mandera,2020,8,Maize,5373.0
Mandera,2020,9,Maize,5344.0
Mandera,2020,10,Maize,5295.0
Mandera,2020,11,Maize,5220.0
Mandera,2020,12,Maize,5347.0
Mandera,2021,1,Maize,6717.0
Mandera,2021,2,Maize,6516.0
Mandera,2021,3,Maize,6484.0
Mandera,2021,4,Maize,6589.0
Mandera,2021,5,Maize,6743.0
Mandera,2021,6,Maize,6546.0
Mandera,2021,7,Maize,6879.0
Mandera,2021,8,Maize,6935.0
Mandera,2021,9,Maize,6794.0
Mandera,2021,10,Maize,6509.0
Mandera,2021,11,Maize,6368.0
Mandera,2021,12,Maize,6766.0
Mandera,2022,1,Maize,6881.0
Mandera,2022,2,Maize,6892.0
Mandera,2022,3,Maize,7004.0
Mandera,2022,4,Maize,6874.0
Mandera,2022,5,Maize,6868.0
Mandera,2022,6,Maize,6737.0
Mandera,2022,7,Maize,6766.0
Mandera,2022,8,Maize,6740.0
Mandera,2022,9,Maize,6878.0
Mandera,2022,10,Maize,7041.0
Mandera,2022,11,Maize,7111.0
Mandera,2022,12,Maize,6460.0
Mandera,2023,1,Maize,6557.0
Mandera,2023,2,Maize,6767.0
Mandera,2023,3,Maize,6967.0
Mandera,2023,4,Maize,6476.0
Mandera,2023,5,Maize,6418.0
Mandera,2023,6,Maize,6583.0
Mandera,2023,7,Maize,6259.0
Mandera,2023,8,Maize,6482.0
Mandera,2023,9,Maize,6152.0
Mandera,2023,10,Maize,5953.0
Mandera,2023,11,Maize,5851.0
Mandera,2023,12,Maize,5775.0
Mandera,2024,1,Maize,6143.0
Mandera,2024,2,Maize,6228.0
Mandera,2024,3,Maize,6231.0
Mandera,2024,4,Maize,6250.0
Mandera,2024,5,Maize,6165.0
Mandera,2024,6,Maize,6320.0
Mandera,2024,7,Maize,6225.0
Mandera,2024,8,Maize,6020.0
Mandera,2024,9,Maize,6014.0
Mandera,2024,10,Maize,6184.0
Mandera,2024,11,Maize,6118.0
Mandera,2024,12,Maize,6122.0
Garissa,2019,1,Maize,4682.0
Garissa,2019,2,Maize,4756.0
Garissa,2019,3,Maize,4683.0
Garissa,2019,4,Maize,4755.0
Garissa,2019,5,Maize,4692.0
Garissa,2019,6,Maize,4580.0
Garissa,2019,7,Maize,4723.0
Garissa,2019,8,Maize,4610.0
Garissa,2019,9,Maize,4744.0
Garissa,2019,10,Maize,4713.0
Garissa,2019,11,Maize,4570.0
Garissa,2019,12,Maize,4795.0
Garissa,2020,1,Maize,4928.0
Garissa,2020,2,Maize,4961.0
Garissa,2020,3,Maize,4921.0
Garissa,2020,4,Maize,5084.0
Garissa,2020,5,Maize,4846.0
Garissa,2020,6,Maize,4955.0
Garissa,2020,7,Maize,4979.0
Garissa,2020,8,Maize,4777.0
Garissa,2020,9,Maize,4818.0
Garissa,2020,10,Maize,5029.0
Garissa,2020,11,Maize,4921.0
Garissa,2020,12,Maize,4952.0
Garissa,2021,1,Maize,6243.0
Garissa,2021,2,Maize,6338.0
Garissa,2021,3,Maize,6260.0
Garissa,2021,4,Maize,6264.0
Garissa,2021,5,Maize,6372.0
Garissa,2021,6,Maize,6198.0
Garissa,2021,7,Maize,6230.0
Garissa,2021,8,Maize,6160.0
Garissa,2021,9,Maize,6330.0
Garissa,2021,10,Maize,6045.0
Garissa,2021,11,Maize,6272.0
Garissa,2021,12,Maize,6275.0
Garissa,2022,1,Maize,6514.0
Garissa,2022,2,Maize,6356.0
Garissa,2022,3,Maize,6432.0
Garissa,2022,4,Maize,6696.0
Garissa,2022,5,Maize,6570.0
Garissa,2022,6,Maize,6869.0
Garissa,2022,7,Maize,6526.0
Garissa,2022,8,Maize,6680.0
Garissa,2022,9,Maize,6441.0
